Quarter,Repo_Rate,CPI_Inflation,GDP_Growth,Unemployment_Rate,IIP_Growth,Repo_Rate_is_interpolated,CPI_Inflation_is_interpolated,GDP_Growth_is_interpolated,Unemployment_Rate_is_interpolated,IIP_Growth_is_interpolated
2010-Q1,5.0,11.9893899204245,8.49758470165625,7.631,,False,False,False,False,False
2010-Q2,5.25,11.9893899204245,8.49758470165625,7.631,,False,True,True,True,False
2010-Q3,6.0,11.9893899204245,8.49758470165625,7.631,,False,True,True,True,False
2010-Q4,6.25,11.9893899204245,8.49758470165625,7.631,,False,True,True,True,False
2011-Q1,6.75,8.9117933648336,5.24131620024293,7.609,,False,False,False,False,False
2011-Q2,7.5,8.9117933648336,5.24131620024293,7.609,,False,True,True,True,False
2011-Q3,8.25,8.9117933648336,5.24131620024293,7.609,,False,True,True,True,False
2011-Q4,8.5,8.9117933648336,5.24131620024293,7.609,,False,True,True,True,False
2012-Q1,8.5,9.47899691419793,5.45638755164772,7.645,,False,False,False,False,False
2012-Q2,8.0,9.47899691419793,5.45638755164772,7.645,,False,True,True,True,False
2012-Q3,8.0,9.47899691419793,5.45638755164772,7.645,,False,True,True,True,False
2012-Q4,8.0,9.47899691419793,5.45638755164772,7.645,,False,True,True,True,False
2013-Q1,7.5,10.0178784746104,6.38610640091713,7.678,,False,False,False,False,False
2013-Q2,7.25,10.0178784746104,6.38610640091713,7.678,,False,True,True,True,False
2013-Q3,7.5,10.0178784746104,6.38610640091713,7.678,,False,True,True,True,False
2013-Q4,7.75,10.0178784746104,6.38610640091713,7.678,,False,True,True,True,False
2014-Q1,8.0,6.66565671867899,7.41022760516977,7.656,,False,False,False,False,False
2014-Q2,8.0,6.66565671867899,7.41022760516977,7.656,,False,True,True,True,False
2014-Q3,8.0,6.66565671867899,7.41022760516977,7.656,,False,True,True,True,False
2014-Q4,8.0,6.66565671867899,7.41022760516977,7.656,,False,True,True,True,False
2015-Q1,7.5,4.90697344127249,7.99625378567987,7.629,,False,False,False,False,False
2015-Q2,7.25,4.90697344127249,7.99625378567987,7.629,,False,True,True,True,False
2015-Q3,6.75,4.90697344127249,7.99625378567987,7.629,,False,True,True,True,False
2015-Q4,6.75,4.90697344127249,7.99625378567987,7.629,,False,True,True,True,False
2016-Q1,6.75,4.94821634062134,8.25630550176662,7.611,,False,False,False,False,False
2016-Q2,6.5,4.94821634062134,8.25630550176662,7.611,,False,True,True,True,False
2016-Q3,6.5,4.94821634062134,8.25630550176662,7.611,,False,True,True,True,False
2016-Q4,6.25,4.94821634062134,8.25630550176662,7.611,,False,True,True,True,False
2017-Q1,6.25,3.32817337461305,6.79538341902422,7.626,,False,False,False,False,False
2017-Q2,6.25,3.32817337461305,6.79538341902422,7.626,,False,True,True,True,False
2017-Q3,6.0,3.32817337461305,6.79538341902422,7.626,,False,True,True,True,False
2017-Q4,6.0,3.32817337461305,6.79538341902422,7.626,,False,True,True,True,False
2018-Q1,6.0,3.93882646691643,6.45385134495295,7.652,,False,False,False,False,False
2018-Q2,6.25,3.93882646691643,6.45385134495295,7.652,,False,True,True,True,False
2018-Q3,6.5,3.93882646691643,6.45385134495295,7.652,,False,True,True,True,False
2018-Q4,6.5,3.93882646691643,6.45385134495295,7.652,,False,True,True,True,False
2019-Q1,6.25,3.72950573539123,3.87143694070524,6.51,,False,False,False,False,False
2019-Q2,5.75,3.72950573539123,3.87143694070524,6.51,,False,True,True,True,False
2019-Q3,5.4,3.72950573539123,3.87143694070524,6.51,,False,True,True,True,False
2019-Q4,5.15,3.72950573539123,3.87143694070524,6.51,,False,True,True,True,False
2020-Q1,5.15,6.6234367762853,-5.77772470687303,7.859,,False,False,False,False,False
2020-Q2,5.15,6.6234367762853,-5.77772470687303,7.859,,False,True,True,True,False
2020-Q3,5.15,6.6234367762853,-5.77772470687303,7.859,,False,True,True,True,False
2020-Q4,5.15,6.6234367762853,-5.77772470687303,7.859,,False,True,True,True,False
2021-Q1,5.15,5.13140747176364,9.68959249191741,6.38,,False,False,False,False,False
2021-Q2,,5.13140747176364,9.68959249191741,6.38,,False,True,True,True,False
2021-Q3,,5.13140747176364,9.68959249191741,6.38,,False,True,True,True,False
2021-Q4,,5.13140747176364,9.68959249191741,6.38,,False,True,True,True,False
2022-Q1,,6.69903414079858,7.6093649776932,4.822,,False,False,False,False,False
2022-Q2,,6.69903414079858,7.6093649776932,4.822,,False,True,True,True,False
2022-Q3,,6.69903414079858,7.6093649776932,4.822,,False,True,True,True,False
2022-Q4,,6.69903414079858,7.6093649776932,4.822,,False,True,True,True,False
2023-Q1,,5.64914318907925,7.210224629335,4.172,,False,False,False,False,False
2023-Q2,,5.64914318907925,7.210224629335,4.172,3.400000000000001,False,True,True,True,False
2023-Q3,,5.64914318907925,7.210224629335,4.172,4.933333333333337,False,True,True,True,False
2023-Q4,,5.64914318907925,7.210224629335,4.172,5.566666666666663,False,True,True,True,False
2024-Q1,,4.95303550973661,7.09927893176518,4.173,13.266666666666666,False,False,False,False,False
2024-Q2,,4.95303550973661,7.09927893176518,4.173,7.233333333333333,False,True,True,True,False
2024-Q3,,4.95303550973661,7.09927893176518,4.173,4.0,False,True,True,True,False
2024-Q4,,4.95303550973661,7.09927893176518,4.173,3.4333333333333336,False,True,True,True,False
2025-Q1,,2.39884954182294,7.56666179284244,4.219,5.0,False,False,False,False,False
2025-Q2,,2.39884954182294,7.56666179284244,4.219,3.4666666666666663,False,True,True,True,False
2025-Q3,,2.39884954182294,7.56666179284244,4.219,5.400000000000001,False,True,True,True,False
2025-Q4,,2.39884954182294,7.56666179284244,4.219,4.266666666666667,False,True,True,True,False
